Date,Calgary,Central,Edmonton,Northeast,Northwest,South
5/21/2019 11:00:00 PM,902.4477239,1139.815272,1239.674605,804.1732602,851.8354751,831.6692991
5/22/2019 12:00:00 AM,862.5911769,1127.774073,1200.183776,780.474068,837.4349523,812.4929506
5/22/2019 1:00:00 AM,847.0930167,1122.315581,1162.08363,796.3241314,832.3210589,815.8500905
5/22/2019 2:00:00 AM,843.5476414,1126.622091,1179.712275,809.0176836,836.4204665,814.7704852
5/22/2019 3:00:00 AM,860.9315231,1133.559847,1183.871203,809.8302806,833.843227,822.9278585
5/22/2019 4:00:00 AM,929.0506045,1137.525221,1211.215443,818.7648013,832.9384287,830.5458764
5/22/2019 5:00:00 AM,1062.784611,1165.85354,1320.463069,818.661363,836.7116753,855.7014966
5/22/2019 10:00:00 PM,987.9394968,1234.501776,1378.560713,805.1630193,863.0128506,849.2938483
5/22/2019 11:00:00 PM,908.8438336,1183.097939,1308.123939,793.2220422,855.3374858,821.4476313
5/23/2019 12:00:00 AM,859.0613868,1174.259983,1266.788689,792.5994478,854.718073,810.2496632
5/23/2019 1:00:00 AM,836.8152289,1169.529628,1243.451891,770.8006135,854.0521951,808.8644642
5/23/2019 2:00:00 AM,831.2539091,1165.198464,1234.948706,763.2504826,845.7548332,809.7700455
5/23/2019 3:00:00 AM,848.8692874,1159.404911,1256.072885,759.2695172,849.4329672,809.6619327
5/23/2019 4:00:00 AM,916.1467817,1167.48705,1299.843206,747.1029113,852.529733,816.8579716
5/23/2019 5:00:00 AM,1046.064201,1193.97157,1400.496611,745.6527801,854.2782538,838.7875397
5/23/2019 10:00:00 PM,975.9407771,1220.197954,1401.483666,785.9521443,795.0523715,854.8764952
5/23/2019 11:00:00 PM,899.0522926,1179.383578,1328.26723,812.0898352,825.4044099,829.5111108
5/24/2019 12:00:00 AM,847.4857318,1161.632631,1270.518682,820.6916475,844.0274901,812.2254475
5/24/2019 1:00:00 AM,827.4588254,1146.984361,1237.28505,818.1779397,848.4802245,802.3514425
5/24/2019 2:00:00 AM,822.9287864,1147.871534,1220.94447,824.9104997,848.3955463,799.3759686
5/24/2019 3:00:00 AM,836.676312,1157.881328,1227.424824,828.2452071,850.4505616,805.9459865
5/24/2019 4:00:00 AM,898.6622098,1177.258729,1274.62207,824.9460281,845.0904926,813.7821934
5/24/2019 5:00:00 AM,1027.478799,1190.450854,1369.536416,818.9794113,844.8806373,841.8234923
5/24/2019 10:00:00 PM,975.1165281,1182.436572,1343.968024,857.3785181,870.1581167,877.775313
5/24/2019 11:00:00 PM,903.9285051,1171.20569,1277.118184,848.2891124,857.8661233,851.97308
5/25/2019 12:00:00 AM,856.8122636,1148.52447,1194.734322,836.6492091,846.7977485,831.1460484
5/25/2019 1:00:00 AM,836.0440535,1126.923735,1148.339067,836.2847089,841.4858389,824.5644224
5/25/2019 2:00:00 AM,825.5750141,1147.362577,1161.456778,848.8664788,834.6351215,817.3247314
5/25/2019 3:00:00 AM,828.0018705,1138.035552,1159.47925,852.2310371,833.8188251,816.1971637
5/25/2019 4:00:00 AM,850.3954217,1131.476057,1144.15864,837.7728699,831.6381765,810.8404716
5/25/2019 5:00:00 AM,883.3726459,1120.621902,1176.242038,836.1515413,829.4296015,814.2529803
5/25/2019 10:00:00 PM,960.0430439,1187.670632,1306.588319,874.3962084,833.4843275,865.6606788
5/25/2019 11:00:00 PM,894.8603394,1158.349203,1254.175449,868.9917104,850.0984826,842.3401991
5/26/2019 12:00:00 AM,852.4196559,1134.292605,1209.317288,868.4336166,840.6613819,828.0595909
5/26/2019 1:00:00 AM,827.960336,1115.113128,1164.501876,866.1991766,839.7176792,822.1527404
5/26/2019 2:00:00 AM,819.5441497,1111.641169,1162.258928,853.5325243,835.7190655,815.4493108
5/26/2019 3:00:00 AM,819.5441545,1104.608729,1162.56452,845.3331569,835.4687002,814.6535351
5/26/2019 4:00:00 AM,824.3708423,1113.707795,1128.657175,827.8095821,829.6744713,807.3199251
5/26/2019 5:00:00 AM,842.1773232,1128.739251,1152.871438,806.6564247,817.5316767,816.0106783
5/26/2019 10:00:00 PM,947.0834486,1240.638967,1410.147037,783.9936567,854.9173869,854.5637645
5/26/2019 11:00:00 PM,872.5466771,1207.744028,1319.643493,777.7465636,841.9647808,830.6132757
5/27/2019 12:00:00 AM,828.8215005,1178.382278,1263.578495,776.6905885,832.4398662,818.5719985
5/27/2019 1:00:00 AM,808.2798584,1178.710513,1253.011118,753.3253585,830.4179024,812.2859694
5/27/2019 2:00:00 AM,808.7754713,1180.448352,1210.188155,751.8946632,827.4241355,814.6016495
5/27/2019 3:00:00 AM,829.3510702,1174.148951,1182.073869,765.2538263,826.9031244,819.869421
5/27/2019 4:00:00 AM,893.6258708,1173.892689,1201.349387,771.4368449,822.2788284,832.4417938
5/27/2019 5:00:00 AM,1030.007149,1203.037796,1310.385794,770.1262592,837.188071,864.786205
5/27/2019 10:00:00 PM,985.5903717,1239.537254,1461.562969,857.7659949,857.6745528,898.0183879
5/27/2019 11:00:00 PM,902.5854782,1215.341763,1342.415671,846.3573682,855.3359474,868.2372274
5/28/2019 12:00:00 AM,853.440384,1183.32896,1278.282434,824.8838438,852.6572796,847.0942604
5/28/2019 1:00:00 AM,830.8588967,1158.759734,1202.396614,805.9079484,842.9187074,843.2852318
5/28/2019 2:00:00 AM,825.3544689,1157.015467,1179.500721,787.9618224,838.9003499,839.260486
5/28/2019 3:00:00 AM,839.3912767,1162.817947,1185.381616,782.2416219,836.1464604,838.3063416
5/28/2019 4:00:00 AM,899.1429833,1146.39947,1225.169101,765.350084,833.4611465,844.7546001
5/28/2019 5:00:00 AM,1032.773067,1176.445838,1334.341731,768.5213017,837.2275649,874.9327488
5/28/2019 10:00:00 PM,1006.086603,1192.754891,1533.860582,883.9309868,779.1272426,910.7428701
5/28/2019 11:00:00 PM,917.5702002,1182.032902,1432.007684,851.4459367,788.297297,881.6953482
5/29/2019 12:00:00 AM,862.3131114,1169.107627,1335.85661,832.7821016,789.4815205,865.7168685
5/29/2019 1:00:00 AM,835.3817337,1144.122284,1276.298543,790.5845761,825.2555865,859.9980457
5/29/2019 2:00:00 AM,827.7960409,1142.7043,1249.342768,782.5863557,822.4299128,858.0204539
5/29/2019 3:00:00 AM,841.6996537,1148.458964,1259.867251,797.6978116,820.9445949,860.424435
5/29/2019 4:00:00 AM,901.2028272,1169.968731,1300.214921,851.0794811,815.3109801,868.6967397
5/29/2019 5:00:00 AM,1038.041554,1197.251908,1369.265563,846.2385158,789.292134,899.7143592
5/29/2019 10:00:00 PM,1075.04931,1259.431219,1591.718189,894.3129796,767.5635232,943.9833962
